questions,answers
Geef me de startdatum en einddatum van het laatst gestarte zorgtraject van Stefanie Van Norden,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.startdatum, zorgtraject.einddatum FROM patient LEFT JOIN zorgtraject on patient.id = zorgtraject.patient_id WHERE patient.roepnaam = 'Stefanie' and patient.eigennaam = 'Van Norden' ORDER BY zorgtraject.startdatum DESC LIMIT 1"
Verstrek mij de datum van aanvang en beëindiging van het recentst opgestarte zorgtraject van Stefanie Van Norden,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.startdatum, zorgtraject.einddatum FROM patient LEFT JOIN zorgtraject on patient.id = zorgtraject.patient_id WHERE patient.roepnaam = 'Stefanie' and patient.eigennaam = 'Van Norden' ORDER BY zorgtraject.startdatum DESC LIMIT 1"
Wat is het referentietype van patiënt Theo Loon?,"SELECT patient.roepnaam, patient.eigennaam, referrer.type FROM patient LEFT JOIN referrer on patient.referrer_id = referrer.id WHERE patient.roepnaam = 'Theo' and patient.eigennaam = 'Loon'"
Verstrek mij het referentietype van patiënt Theo Loon?,"SELECT patient.roepnaam, patient.eigennaam, referrer.type FROM patient LEFT JOIN referrer on patient.referrer_id = referrer.id WHERE patient.roepnaam = 'Theo' and patient.eigennaam = 'Loon'"
Laat me de namen en e-mails van zowel patiënten als medewerkers zien.,"SELECT roepnaam, eigennaam, email FROM patient UNION SELECT firstname, surname, email FROM employee"
"Geef me de voornaam, achternaam en e-mailadressen van zowel patiënten als medewerkers","SELECT roepnaam, eigennaam, email FROM patient UNION SELECT firstname, surname, email FROM employee"
Heeft patient Martin Veen eventuele bezwaren met betrekking tot privacy?,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.privacybezwaren FROM patient LEFT JOIN zorgtraject on patient.referrer_id = zorgtraject.patient_id WHERE patient.roepnaam = 'Martin' and patient.eigennaam = 'Veen'"
Heeft patient Martin Veen privacybezwaren?,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.privacybezwaren FROM patient LEFT JOIN zorgtraject on patient.referrer_id = zorgtraject.patient_id WHERE patient.roepnaam = 'Martin' and patient.eigennaam = 'Veen'"
"Haal de namen op van de eerste 666 GGZ klinieken, gesorteerd op het telefoonnummer.",SELECT naam FROM KLINIEK WHERE zorgverleningsoort = 'ggz' ORDER BY telefoon LIMIT 666
"Toon de namen van de initiële 666 GGZ-klinieken, gerangschikt op basis van het telefoonnummer.",SELECT naam FROM KLINIEK WHERE zorgverleningsoort = 'ggz' ORDER BY telefoon LIMIT 666
"Haal de AGB code's op van de eerste tweehonderd uzovi maatschappijen, gesorteerd op de AGB code.",SELECT agbcode FROM SYSTEEMMAATSCHAPPIJNL WHERE invoer = 'uzovi' ORDER BY agbcode LIMIT 200
"Verstrek de AGB-codes van de initiële tweehonderd uzovi-maatschappijen, gerangschikt op basis van de AGB-code.",SELECT agbcode FROM SYSTEEMMAATSCHAPPIJNL WHERE invoer = 'uzovi' ORDER BY agbcode LIMIT 200
Geef mij de woonplaats en jaar invoerdatum van cliënten die niet verwijderd zijn en geen emailadres hebben,"SELECT plaats, year(invoerdatum), count(*) FROM patient WHERE verwijderd = 'nee' AND email = '' GROUP BY plaats, year(invoerdatum)"
Laat me de woonplaats en het jaar van inschrijving zien van niet verwijderde cliënten zonder geregistreerd e-mailadres,"SELECT plaats, year(invoerdatum), count(*) FROM patient WHERE verwijderd = 'nee' AND email = '' GROUP BY plaats, year(invoerdatum)"
"Toon me per cliënt het aantal actieve formulieren dat niet is verwijderd, en het aantal unieke behandelaren dat deze formulieren heeft aangemaakt.","SELECT patient.id, count(DISTINCT emruserform.id) over (partition by patient.id), count(DISTINCT userformemployee_id) over (partition by patient.id) FROM patient INNER JOIN emruserform on patient.id = emruserform.patient_id WHERE status != 'deleted' and active = 1"
"Geef mij per client het aantal niet verwijderde, actieve formulieren en het aantal bijbehorende unieke behandelaren die het formulier aangemaakt hebben","SELECT patient.id, count(DISTINCT emruserform.id) over (partition by patient.id), count(DISTINCT userformemployee_id) over (partition by patient.id) FROM patient INNER JOIN emruserform on patient.id = emruserform.patient_id WHERE status != 'deleted' and active = 1"
Laat mij alle open en gesloten behandelingen zien voor de basisggz,SELECT * FROM behandeling WHERE behandelingtype = 'basisggz' and (status = 'gesloten' or status = 'open')
"Toon mij de behandelingen in de basis geestelijke gezondheidszorg, alleen de lopende en afgeronde",SELECT * FROM behandeling WHERE behandelingtype = 'basisggz' and (status = 'gesloten' or status = 'open')
"Geef me alle namen van de zorgtrajecten na 2020 en tel hoeveel er van elk zorgtraject zijn, gesorteerd op alfabetische volgorde","SELECT naam, count(naam) FROM zorgtraject WHERE year(startdatum) > 2020 GROUP BY naam ORDER BY naam"
"Toon mij de zorgtrajectnamen gestart na 2020, en geef per zorgtaject het aantal ervan, geordend in alfabetische volgorde","SELECT naam, count(naam) FROM zorgtraject WHERE year(startdatum) > 2020 GROUP BY naam ORDER BY naam"
Laat me zien hoeveel verzekeringen elke koepelorganisatie heeft.,"SELECT koepelorganisatie.naam, count(*) FROM systeemmaatschappijnl LEFT JOIN koepelorganisatie_maatschappij on systeemmaatschappijnl.id = koepelorganisatie_maatschappij.maatschappij_id LEFT JOIN koepelorganisatie on koepelorganisatie.id = koepelorganisatie_maatschappij.koepelorganisatie_id GROUP BY koepelorganisatie.naam"
Hoeveel verzekeringen bevat elke koepelorganisatie?,"SELECT koepelorganisatie.naam, count(*) FROM systeemmaatschappijnl LEFT JOIN koepelorganisatie_maatschappij on systeemmaatschappijnl.id = koepelorganisatie_maatschappij.maatschappij_id LEFT JOIN koepelorganisatie on koepelorganisatie.id = koepelorganisatie_maatschappij.koepelorganisatie_id GROUP BY koepelorganisatie.naam"
